"시점",총지수,식료품 및 비주류음료,식료품 및 비주류음료,식료품 및 비주류음료,주류·담배,주류·담배,주류·담배,의복·신발,의복·신발,의복·신발,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,보건,보건,보건,보건,교통,교통,교통,교통,통신,통신,통신,통신,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,교육,교육,교육,교육,음식 및 숙박,음식 및 숙박,음식 및 숙박,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스
"시점",소계,소계,식료품,비주류음료,소계,주류,담배,소계,의류,신발,소계,주택임차료,주거시설 유지·보수,수도 및 주거관련 서비스,전기가스 및 기타연료,소계,가구·가사비품 및 카페트,가정용 섬유제품,가정용 기기,주방용품 및 가정용품,가정·정원용 공구 및 장비,일상 생활용품 및 가사서비스,소계,의료용품 및 장비,외래환자 서비스,병원서비스,소계,운송장비,개인운송장비 운영,운송서비스,소계,우편서비스,전화 및 팩스장비,전화 및 팩스서비스,소계,음향·영상·사진 및 정보처리 장비,기타 오락 및 문화용 주요내구재,기타 오락용품·조경용품 및 애완동물,오락 및 문화서비스,신문·서적 및 문방구,단체여행,소계,유치원 및 초등교육,고등교육,기타교육,소계,음식서비스,숙박서비스,소계,미용용품 및 미용서비스,기타 개인용품,기타 서비스
"2022. 04",105.73,109.87,109.85,110.35,102.80,106.74,100.00,102.37,102.27,102.96,104.52,103.09,112.18,110.14,104.54,105.79,114.42,101.80,100.10,111.12,111.36,106.17,100.52,97.98,103.59,97.36,113.83,103.87,130.09,101.92,99.78,109.99,94.17,101.31,102.46,96.71,101.01,103.60,103.37,102.57,109.70,102.50,78.40,99.14,104.22,108.38,108.80,99.88,105.56,104.58,100.51,108.66
"2022. 05",106.29,110.88,110.98,109.57,103.30,107.87,100.00,103.54,103.56,103.53,104.83,103.22,113.03,108.40,108.19,106.25,111.07,101.80,100.11,112.71,111.21,109.68,100.53,97.89,103.69,97.36,114.46,104.57,130.51,102.68,99.78,109.99,94.17,101.32,102.57,96.62,101.00,102.19,103.95,102.46,110.79,102.55,78.40,99.14,104.28,109.36,109.71,102.10,107.38,106.68,101.33,110.52
"2022. 06",106.85,110.74,110.80,110.04,103.18,107.60,100.00,103.54,103.54,103.57,105.19,103.25,114.28,110.75,108.24,106.51,110.98,107.94,99.92,112.31,110.65,109.77,100.56,97.97,103.69,97.36,117.61,105.06,137.45,103.56,99.80,109.99,94.17,101.35,103.45,96.71,102.37,104.59,104.15,103.70,111.95,102.83,78.40,99.14,104.64,110.13,110.50,102.52,108.47,108.69,101.32,110.63
"2022. 07",107.47,112.93,113.17,109.80,103.27,107.79,100.00,103.69,103.65,103.97,105.19,103.35,115.04,110.38,107.74,106.93,111.22,107.95,100.21,112.55,111.41,110.61,100.54,97.92,103.69,97.36,117.97,105.40,136.86,104.77,99.83,109.99,94.17,101.38,104.57,96.67,102.07,103.88,105.29,103.80,117.63,102.98,78.40,99.14,104.83,111.50,111.28,114.16,108.99,109.67,101.33,110.63
"2022. 08",107.65,114.22,114.65,108.42,103.46,108.24,100.00,103.83,103.80,103.97,105.53,103.49,115.46,112.24,107.75,107.37,111.84,110.58,99.95,114.49,111.86,110.84,100.68,98.21,103.72,97.36,113.99,105.58,125.90,105.35,99.84,109.99,94.17,101.39,105.43,96.22,103.95,103.52,106.34,103.80,120.86,103.21,78.40,99.14,105.13,112.50,112.00,119.85,109.06,109.77,101.33,110.70
"2022. 09",107.78,115.27,115.69,109.63,103.14,107.51,100.00,103.80,103.76,104.05,106.44,103.60,115.92,111.75,115.39,106.92,114.15,110.59,99.83,107.15,111.44,110.34,100.37,97.72,103.54,97.36,112.01,105.67,122.97,103.30,100.12,109.99,95.25,101.44,104.41,95.24,103.80,104.69,105.92,103.88,114.07,103.28,78.40,99.15,105.20,112.58,112.82,107.22,109.48,110.42,101.73,110.73
"2022. 10",108.12,113.56,113.82,110.19,103.27,107.81,100.00,103.90,103.96,103.65,108.13,103.70,116.41,113.33,127.70,107.58,110.95,110.59,100.89,112.52,111.41,111.69,100.85,98.81,103.54,97.31,111.84,106.98,122.06,103.15,100.96,109.99,98.87,101.46,104.43,95.35,103.70,105.10,105.97,104.13,113.20,103.30,78.40,99.15,105.23,112.88,113.05,108.72,109.75,110.86,102.00,110.73
"2022. 11",108.00,111.22,111.33,109.89,103.20,107.63,100.00,106.85,106.98,106.21,108.03,103.84,116.41,111.79,127.70,108.09,114.01,110.59,100.91,107.83,112.46,112.97,100.83,98.73,103.56,97.30,111.62,107.17,122.00,102.60,100.96,109.99,98.87,101.46,104.39,95.64,103.85,105.90,106.05,104.21,111.34,103.30,78.40,99.15,105.24,113.00,113.29,106.62,110.28,111.87,102.00,110.73
"2022. 12",108.46,112.71,112.80,111.53,103.48,108.29,100.00,107.15,107.10,107.46,108.25,103.91,116.91,113.00,127.71,108.73,114.11,110.59,100.56,112.91,111.51,114.25,100.67,98.65,103.30,97.30,110.60,106.20,118.67,103.68,100.96,109.99,98.87,101.47,105.42,98.68,103.33,106.06,106.68,104.75,113.94,103.59,78.40,99.15,105.60,113.85,114.00,110.11,111.43,113.56,103.89,110.73
"2023. 01",109.22,114.53,114.63,113.23,103.10,107.41,100.00,107.43,107.43,107.50,109.24,103.99,117.38,115.35,133.16,109.82,117.88,110.59,102.26,107.94,111.39,115.27,101.81,99.00,105.09,99.02,109.98,106.18,117.04,103.72,100.96,109.99,98.87,101.47,106.14,98.51,101.71,107.78,107.15,105.79,115.44,103.89,78.40,99.15,105.97,114.28,114.42,110.65,113.10,114.14,104.65,114.51
